,Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,TotJ,SurvSc,SurvAv,Days,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile,age,state,Won,Name_Index,state_D.C.,season,gender,occupation,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided
0,Kelly Wiglesworth,5.87,15.1,0.39,2,6,0,73,11,0.55,3.82,7,0.9314285710000001,9.688571426,39,5,5.0,1.0,8,4,13.0,5.0,1,5.0,2.0,6,3.0,11.0,5.0,0.454545455,0,22,Nevada,0,0,0,1.0,0,River Guide,0.0,0.0,0.0,0.0,0.0,0.0
1,Richard Hatch,1.87,15.1,0.12,0,10,6,73,11,0.9,2.55,7,1.028571429,4.411428574,39,1,5.0,0.0,8,1,13.0,1.0,1,5.0,2.0,6,3.0,11.0,5.0,0.454545455,0,39,Rhode Island,1,1,0,1.0,1,Corporate Trainer,0.0,0.0,0.0,0.0,0.0,0.0
2,Gretchen Cordy,1.23,3.07,0.4,0,3,4,31,4,0.72,2.63,7,1.12,3.85,21,1,0.0,0.0,1,0,1.0,0.0,1,5.0,3.0,6,3.0,11.0,6.0,0.545454546,0,38,Tennessee,0,2,0,1.0,0,Teacher,0.0,0.0,0.0,0.0,0.0,0.0
3,Rudy Boesch,1.62,15.1,0.11,3,10,8,73,11,0.9,2.12,7,1.01,3.74,38,1,5.0,0.0,8,1,13.0,1.0,1,5.0,2.0,6,2.0,11.0,4.0,0.363636364,0,72,Virginia,0,3,0,1.0,1,Retired Navy SEAL,0.0,0.0,0.0,0.0,0.0,0.0
4,Gervase Peterson,2.89,9.07,0.32,2,1,6,55,7,0.13,0.4,7,0.45,3.29,30,6,3.0,1.0,4,1,7.0,2.0,1,5.0,2.0,6,3.0,11.0,5.0,0.454545455,0,30,New Jersey,0,4,0,1.0,1,YMCA Basketball Coach; Cigar Lounge Owner,0.0,0.0,0.0,0.0,0.0,0.0
5,Joel Klug,0.89,2.07,0.43,1,2,4,21,3,0.6,2.33,7,1.03,3.23,18,1,0.0,0.0,0,0,0.0,0.0,1,5.0,2.0,6,3.0,11.0,5.0,0.454545455,0,27,Arkansas,0,5,0,1.0,1,Health Club Consultant,0.0,0.0,0.0,0.0,0.0,0.0
6,Greg Buis,2.56,5.07,0.5,2,1,6,40,5,0.17,0.56,7,0.67,3.12,24,4,1.0,1.0,2,1,3.0,2.0,1,5.0,1.0,6,3.0,11.0,4.0,0.363636364,0,24,Colorado,0,6,0,1.0,1,Ivy League Graduate,0.0,0.0,0.0,0.0,0.0,0.0
7,Dirk Been,0.62,1.51,0.41,1,2,4,21,3,0.6,2.33,7,1.01,2.95,15,1,0.0,0.0,0,0,0.0,0.0,1,4.0,2.0,5,2.0,9.0,4.0,0.444444444,0,23,Wisconsin,0,7,0,1.0,1,Dairy Farmer,0.0,0.0,0.0,0.0,0.0,0.0
8,Colleen Haskell,1.56,11.07,0.14,3,3,7,61,8,0.36,0.95,7,0.5,2.51,33,5,4.0,1.0,5,0,9.0,1.0,1,5.0,1.0,6,3.0,11.0,4.0,0.363636364,0,23,Florida,0,8,0,1.0,0,Student,0.0,0.0,0.0,0.0,0.0,0.0
9,Jenna Lewis,1.23,7.07,0.17,0,4,11,48,6,0.63,1.24,7,0.8,2.47,27,2,2.0,0.0,3,0,5.0,0.0,1,5.0,3.0,6,3.0,11.0,6.0,0.545454546,0,22,New Hampshire,0,9,0,1.0,0,Student,0.0,0.0,0.0,0.0,0.0,0.0
10,Ramona Gray,0.39,0.99,0.4,1,1,6,15,2,0.3,1.4,7,0.7,1.79,12,1,0.0,0.0,0,0,0.0,0.0,1,3.0,1.0,4,2.0,7.0,3.0,0.428571429,0,29,New Jersey,0,10,0,1.0,0,Biochemist/Chemist,0.0,0.0,0.0,0.0,0.0,0.0
11,Stacey Stillman,0.29,0.68,0.42,0,0,6,15,2,-0.2,0.0,7,0.22,0.29,9,2,0.0,0.0,0,0,0.0,0.0,1,2.0,1.0,3,1.0,5.0,2.0,0.4,0,27,California,0,11,0,1.0,0,Attorney,0.0,0.0,0.0,0.0,0.0,0.0
12,B.B. Andersen,0.25,0.39,0.64,0,0,6,8,1,-0.75,0.0,7,-0.11,0.25,6,1,0.0,0.0,0,0,0.0,0.0,1,1.0,1.0,2,1.0,3.0,2.0,0.666666667,0,64,Kansas,0,12,0,1.0,1,Real Estate Developer,0.0,0.0,0.0,0.0,0.0,0.0
13,Sonja Christopher,0.0,0.13,0.0,0,0,4,8,1,-0.5,0.0,7,-0.5,0.0,3,1,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,1,0.0,1.0,0.0,0.0,0,63,California,0,13,0,1.0,0,Musician,0.0,0.0,0.0,0.0,0.0,0.0
14,Colby Donaldson,8.09,13.09,0.62,0,10,5,73,11,0.9,2.83,7,1.52,10.91,42,1,3.0,2.0,8,5,11.0,7.0,2,6.0,3.0,5,2.0,11.0,5.0,0.454545455,0,26,Texas,0,14,0,2.0,1,Auto Customizer,0.0,0.0,0.0,0.0,0.0,0.0
15,Tina Wesson,0.59,13.09,0.05,0,11,0,73,11,1.0,7.0,7,1.0500000000000003,7.6,42,0,3.0,0.0,8,0,11.0,0.0,2,6.0,2.0,5,2.0,11.0,4.0,0.363636364,0,40,Tennessee,1,15,0,2.0,0,Personal Nurse; Motivational Speaker,0.0,0.0,0.0,0.0,0.0,0.0
16,Keith Famie,2.59,13.09,0.2,0,9,8,73,11,0.81,1.91,7,1.01,4.5,41,2,3.0,0.0,8,2,11.0,2.0,2,6.0,2.0,5,2.0,11.0,4.0,0.363636364,0,40,Michigan,0,16,0,2.0,1,Chef,0.0,0.0,0.0,0.0,0.0,0.0
17,Nick Brown,1.97,7.03,0.28,0,3,4,49,6,0.49,1.75,7,0.77,3.72,30,3,1.0,0.0,4,1,5.0,1.0,2,6.0,3.0,5,3.0,11.0,6.0,0.545454546,0,23,Washington,0,17,0,2.0,1,Harvard Law Student,0.0,0.0,0.0,0.0,0.0,0.0
