Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Place,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile
Kelly Wiglesworth,5.87,15.1,0.39,2,6,0,73,11,0.55,3.82,11,3,7,0.428571429,1.36,12.26,39,2,5,5,1,8,4,13,5,1,5,2,6,3,11,5,0.454545455,0
Richard Hatch,1.87,15.1,0.12,0,10,6,73,11,0.9,2.55,7,4,7,0.571428571,1.6,7.84,39,1,1,5,0,8,1,13,1,1,5,2,6,3,11,5,0.454545455,0
Gretchen Cordy,1.23,3.07,0.4,0,3,4,31,4,0.72,2.63,3,0,7,0,1.12,3.85,21,10,1,0,0,1,0,1,0,1,5,3,6,3,11,6,0.545454546,0
Rudy Boesch,1.62,15.1,0.11,3,10,8,73,11,0.9,2.12,6,0,7,0,1.01,3.74,38,3,1,5,0,8,1,13,1,1,5,2,6,2,11,4,0.363636364,0
Sue Hawk,0.87,14.1,0.06,0,9,5,70,10,0.89,2.8,6,0,7,0,0.95,3.67,37,4,1,5,0,7,0,12,0,1,5,2,6,3,11,5,0.454545455,0
Sean Keniff,1.87,13.1,0.14,0,6,9,66,9,0.65,1.44,5,0,7,0,0.79,3.3,36,5,3,5,1,6,0,11,1,1,5,2,6,3,11,5,0.454545455,0
Gervase Peterson,2.89,9.07,0.32,2,1,6,55,7,0.13,0.4,5,0,7,0,0.45,3.29,30,7,6,3,1,4,1,7,2,1,5,2,6,3,11,5,0.454545455,0
Joel Klug,0.89,2.07,0.43,1,2,4,21,3,0.6,2.33,2,0,7,0,1.03,3.23,18,11,1,0,0,0,0,0,0,1,5,2,6,3,11,5,0.454545455,0
Greg Buis,2.56,5.07,0.5,2,1,6,40,5,0.17,0.56,4,0,7,0,0.67,3.12,24,9,4,1,1,2,1,3,2,1,5,1,6,3,11,4,0.363636364,0
Dirk Been,0.62,1.51,0.41,1,2,4,21,3,0.6,2.33,2,0,7,0,1.01,2.95,15,12,1,0,0,0,0,0,0,1,4,2,5,2,9,4,0.444444444,0
Colleen Haskell,1.56,11.07,0.14,3,3,7,61,8,0.36,0.95,5,0,7,0,0.5,2.51,33,6,5,4,1,5,0,9,1,1,5,1,6,3,11,4,0.363636364,0
Jenna Lewis,1.23,7.07,0.17,0,4,11,48,6,0.63,1.24,1,0,7,0,0.8,2.47,27,8,2,2,0,3,0,5,0,1,5,3,6,3,11,6,0.545454546,0
Ramona Gray,0.39,0.99,0.4,1,1,6,15,2,0.3,1.4,0,0,7,0,0.7,1.79,12,13,1,0,0,0,0,0,0,1,3,1,4,2,7,3,0.428571429,0
Stacey Stillman,0.29,0.68,0.42,0,0,6,15,2,-0.2,0,0,0,7,0,0.22,0.29,9,14,2,0,0,0,0,0,0,1,2,1,3,1,5,2,0.4,0
B.B. Andersen,0.25,0.39,0.64,0,0,6,8,1,-0.75,0,0,0,7,0,-0.11,0.25,6,15,1,0,0,0,0,0,0,1,1,1,2,1,3,2,0.666666667,0
Sonja Christopher,0,0.13,0,0,0,4,8,1,-0.5,0,0,0,7,0,-0.5,0,3,16,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Colby Donaldson,8.09,13.09,0.62,0,10,5,73,11,0.9,2.83,9,3,7,0.43,1.95,13.49,42,2,1,3,2,8,5,11,7,2,6,3,5,2,11,5,0.454545455,0
Tina Wesson,0.59,13.09,0.05,0,11,0,73,11,1,7,10,4,7,0.57,1.62,11.02,42,1,0,3,0,8,0,11,0,2,6,2,5,2,11,4,0.363636364,0
Keith Famie,2.59,13.09,0.2,0,9,8,73,11,0.81,1.91,6,0,7,0,1.01,4.5,41,3,2,3,0,8,2,11,2,2,6,2,5,2,11,4,0.363636364,0
Nick Brown,1.97,7.03,0.28,0,3,4,49,6,0.49,1.75,5,0,7,0,0.77,3.72,30,7,3,1,0,4,1,5,1,2,6,3,5,3,11,6,0.545454546,0
Jerri Manthey,2.09,6.09,0.34,0,4,12,48,6,0.63,1.17,2,0,7,0,0.97,3.26,27,8,2,1,1,3,0,4,1,2,6,3,5,2,11,5,0.454545455,0
Mike Skupin*,0.97,1.53,0.64,0,2,0,15,2,0.57,1.87,2,0,7,0,1.21,2.84,18,11,1,0,0,0,0,0,0,2,5,3,5,3,10,6,0.6,0
Mitchell Olson,0.39,0.99,0.4,0,2,4,21,3,0.6,2.33,1,0,7,0,1,2.73,12,13,1,0,0,0,0,0,0,2,3,2,4,1,7,3,0.428571429,0
Jeff Varner,0.97,2.53,0.38,0,2,7,25,3,0.57,1.7,0,0,7,0,0.96,2.67,21,10,1,0,0,1,0,1,0,2,5,3,5,3,10,6,0.6,0
