,Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,TotJ,SurvSc,SurvAv,Days,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile,age,state,Won,Name_Index,state_D.C.,season,gender,occupation,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided
1,Tony,4.56,11.74,0.388415673,1,9,0,97,13,0.684210526,2.423076923,16,1.21,9.16,39,2,1,0,9,4,10,4,40,6,3,8,3,14,6,0.428571429,0,45,New Jersey,1,1,0,40,1,Police Officer,1,1,1,0,0,0
2,Ben,1.2,10.74,0.111731844,0,10,5,105,14,0.736842105,1.111111111,16,1.04,5.45,36,1,1,1,8,0,9,1,40,6,3,8,0,14,3,0.214285714,0,36,Idaho,0,2,0,40,1,Marine,1,1,1,2,1,0
3,Denise,2.48,9.74,0.254620123,1,6,7,100,11,0.578947368,0.694214876,16,0.88,4.58,35,4,0,0,7,2,7,2,40,6,1,8,2,14,3,0.214285714,0,48,Iowa,0,3,0,40,0,Sex Therapist,1,2,2,4,1,0
4,Michele,2.78,10.74,0.258845438,1,8,4,109,14,0.736842105,1,16,0.7,4.11,39,6,1,1,9,2,10,3,40,6,2,8,1,14,3,0.214285714,0,29,New Jersey,0,4,0,40,0,Business Development Manaer,0,0,0,0,0,0
5,Sandra,0.31,1.04,0.298076923,4,2,1,24,3,0.157894737,1.866666667,16,0.95,4.04,16,1,0,0,0,0,0,0,40,5,3,7,4,12,7,0.583333333,19,44,Florida,0,5,0,40,0,Case Manager,1,1,0,0,0,0
6,Sarah,1.29,10.74,0.120111732,0,6,2,86,13,0.684210526,1.076923077,16,0.69,3.83,38,5,1,1,9,0,10,1,40,6,5,8,0,14,5,0.357142857,0,34,Iowa,0,6,0,40,0,Police Officer,0,0,0,0,0,0
7,Yul,0.66,2.54,0.25984252,0,3,3,28,4,0.210526316,1.5,16,0.98,3.66,18,1,0,0,0,0,0,0,40,6,5,8,5,14,10,0.714285714,17,44,California,0,7,0,40,1,Product Manager,0,0,0,0,0,0
8,Nick,1.66,8.74,0.18993135,0,8,8,90,11,0.578947368,0.848484848,16,0.91,3.36,34,3,1,0,7,1,8,1,40,6,5,8,1,14,6,0.428571429,1,28,Kentucky,0,8,0,40,1,Attorney,0,0,0,0,0,0
9,Jeremy,1.48,7.74,0.19121447,0,6,9,79,9,0.473684211,0.717948718,16,0.85,2.91,31,3,1,0,6,1,7,1,40,6,1,8,1,14,2,0.142857143,4,41,Massachusetts,0,9,0,40,1,Fireman,0,0,0,0,0,0
10,Sophie,1.29,5.74,0.224738676,0,4,6,65,7,0.368421053,0.8,16,0.78,2.89,28,3,1,1,4,0,5,1,40,6,5,8,0,14,5,0.357142857,7,29,California,0,10,0,40,0,Healthcare Consultant,1,1,0,0,0,0
11,Kim,1.76,6.74,0.261127596,0,4,9,73,8,0.421052632,0.538461538,16,0.75,2.84,29,4,1,1,5,1,6,2,40,6,3,8,1,14,4,0.285714286,6,36,Texas,0,11,0,40,0,Interior Designer,0,0,0,0,0,0
12,Ethan,0.11,1.45,0.075862069,0,2,4,27,3,0.157894737,1.166666667,16,0.69,2.44,9,1,0,0,0,0,0,0,40,3,0,4,1,7,1,0.142857143,26,45,New Hampshire,0,12,0,40,1,Keynote Speaker,0,0,0,0,0,0
13,Tyson,1.34,4.79,0.279749478,0,3,12,51,5,0.263157895,0.525,16,0.83,2.39,25,2,0,0,3,0,3,0,40,4,3,5,3,9,6,0.666666667,10,40,Arizona,0,13,0,40,1,None,0,0,0,0,0,0
14,Wendell,0.66,2.54,0.25984252,0,4,12,40,5,0.263157895,0.7,16,1,2.06,21,1,0,0,0,0,0,0,40,6,1,8,0,14,1,0.071428571,14,35,Pennsylvania,0,14,0,40,1,Interior Designer,0,0,0,0,0,0
15,Parvati,0.45,2.04,0.220588235,0,2,5,32,4,0.210526316,0.777777778,16,0.68,2.01,16,2,0,0,0,0,0,0,40,6,1,7,4,13,5,0.384615385,19,36,California,0,15,0,40,0,Keynote Speaker,0,0,0,0,0,0
16,Boston Rob,0.25,1.79,0.139664804,0,2,4,32,4,0.210526316,0.875,16,0.61,2,14,2,0,0,0,0,0,0,40,6,1,6,2,12,3,0.25,21,43,Florida,0,16,0,40,1,ConstructionWorker,0,0,0,0,0,0
17,Adam,1,3.74,0.267379679,0,4,15,55,6,0.315789474,0.49122807,16,0.89,1.99,23,2,1,1,1,0,2,1,40,6,3,8,0,14,3,0.214285714,12,28,California,0,17,0,40,1,Keynote Speaker,0,0,0,0,0,0
18,Danni,0.11,1.32,0.083333333,0,1,8,19,2,0.105263158,0.583333333,16,0.37,1.28,6,1,0,0,0,0,0,0,40,2,0,3,1,5,1,0.2,29,43,Kansas,0,18,0,40,0,Business Owner,0,0,0,0,0,0
19,Amber,0.1,1.21,0.082644628,0,0,6,10,1,0.052631579,0,16,-0.52,0.1,3,1,0,0,0,0,0,0,40,1,1,2,1,3,2,0.666666667,32,40,Florida,0,19,0,40,0,Director of Marketing,0,0,0,0,0,0
20,Natalie,1,4.1,0.243902439,0,2,10,22,1,0.052631579,2,16,-0.7,0,39,1,0,0,3,1,3,1,40,1,0,1,0,2,0,0,33,33,New Jersey,0,20,0,40,0,Personal Trainer,1,2,2,2,1,0
